Title,Company,Job Type,Post Date,Description,Link
Senior Python Developer ONSITE,N/A,"Back end, Operations, Systems, Developer Tooling, Developer Experience",08 July 2025,"Senior Python Developer ONSITE
              
	      New

              Foxley Talent
	    

Brooklyn, NY, United States



Job Title 

        Senior Python Developer ONSITE

        Job Description
We are looking for a highly experienced Python Developer to join a fast-growing SaaS Company building next-generation developer tooling.
They have strong early traction and a growing customer base. As a result they are now looking for a Python expert to lead the development of their SDK generator which powers seamless integrations between APIs and developers.
This is a unique opportunity to shape the future of SDK development in Python and influence how developers interact with APIs across a wide range of modern applications. Highly collaborative team and the chance to shape engineering culture from the ground up.
This role offers the right person the opportunity for real ownership and autonomy within a high-trust, fast-paced environment.
Restrictions

No telecommuting
Agencies are OK

Requirements

Deep experience with modern Python libraries and tools (e.g. Pydantic, mypy, Poetry, uvicorn).
Excellent understanding of type systems, asynchronous programming, and evolving ecosystem trends like FastAPI.
Strong instincts and a passion for developer experience and API design.
Experience working in early-stage SaaS or with API standards like OpenAPI, GraphQL, Protocol Buffers, or AsyncAPI.

Tech stack:
- Python (FastAPI), Node.js (Express)
- Postgres + Prisma ORM
- AWS infrastructure
- Compiler + SDK generation tooling
About the Company
This is an onsite position with the team working 5 days per week in the companies Brooklyn based HQ.
Salary is ranging from $200,000 - $250,000 per year with meaningful equity and a great benefits package including full health, dental, and vision coverage.
*Relocation to NYC fully paid along with subsidies for initial living costs if you meet the requirements.
**Relocation and VISA sponsorship will only be offered to exceptional candidates with relevant experience in this sector.
Contact Info

Contact: Jon Gould
E-mail contact: hello@foxleytalent.com
Web: https://foxleytalent.com/jobs/python-developer-new-york/






Posted 08 July 2025



Back end, Operations, Systems

Developer / Engineer",https://www.python.org/jobs/7926/
Open Source Software Engineer,N/A,"Back end, Machine Learning",05 July 2025,"Open Source Software Engineer
              
	      New

              Stealth AI Startup
	    

Remote, Global



Job Title 

        Open Source Software Engineer

        Job Description
We’ve partnered with a YC-backed AI tooling startup to find an Open Source Software Engineer who’s passionate about building developer tools for the LLM era.
The company is developing a widely adopted, open-source framework for evaluating LLM applications, which is already used by engineers at top companies such as Google, Amazon, and Databricks.
As part of a small and focused team, you’ll work on a high-impact library that’s shaping how the next generation of AI products gets evaluated and improved.
What You'll Do

Build new features that improve how developers evaluate LLM-powered applications.
Contribute to the design, maintenance, and evolution of the open-source library
Collaborate with the community- responding to issues, feature requests, and bug reports
Work closely with users to improve the developer experience

Restrictions

Telecommuting is OK
No Agencies Please

Requirements
You Might Be a Fit If You

Love working on open-source projects and care about the developer experience
Have strong experience with Python and software engineering best practices
Have contributed to open-source libraries or maintained your own projects
Enjoy startup environments and thrive in ambiguity

Bonus Points

Prior work on evaluation, RAG workflows, or LLM-based applications
Contributions to AI infra or tooling libraries used by other developers

About the Company
Lexoga One helps early-stage and high-growth startups find exceptional engineering and AI talent. We work with some of the most ambitious teams in tech to help them scale by finding the right people, fast. Each role on Lexoga One is curated with deep insight into the team, tech, and impact.
Note: We're hiring on behalf of a YC-backed AI startup. Selected candidates will receive company details in the next step.
Contact Info

E-mail contact: adarsh@lexoga.com
Web: https://lexoga.com/one/jobs/open-source-software-engineer






Posted 05 July 2025



Back end, Machine Learning

Developer / Engineer",https://www.python.org/jobs/7925/
Python Software Engineer Intern,N/A,"Back end, Cloud, Front end, Systems",03 July 2025,"Python Software Engineer Intern
              
	      New

              HypothesisBase
	    

Remote, Remote, USA



Job Title 

        Python Software Engineer Intern

        Job Description
HypothesisBase is seeking a python developer with strong CS knowledge who is motivated to solve complex problems.
Assist in development of software applications using python, html/js, shell scripting.
Conduct unit testing of software applications.
To apply, you must complete the assessment at link:
https://algorithmspath.com/assessments/743fd894-02fe-4c5f-946b-1efdf233ff28/start
then send your resume to jobs@hypothesisbase.com.
Restrictions

Telecommuting is OK
No Agencies Please

Requirements
Requirements:

Experience in source code management (git)
Experience with Python
Experience with Linux
Experience with developing distributed software systems
Willingness to learn (important)
Clear communication (important)

About the Company
HypothesisBase develops software solutions in variegated domains.
We strive to give our developers great flexibility so they can work at their best.
Contact Info

Contact: Madhav Kumar
E-mail contact: jobs@hypothesisbase.com
Web: https://hypothesisbase.com






Posted 03 July 2025



Back end, Cloud, Front end, Systems

Developer / Engineer",https://www.python.org/jobs/7923/
Full Stack Developer,N/A,"Back end, Front end",30 June 2025,"Full Stack Developer
              
	      New

              The Patrick J. McGovern Foundation
	    

Remote, Remote, United States of America



Job Title 

        Full Stack Developer

        Job Description
The Patrick J McGovern Foundation (PJMF) is seeking an experienced, multi-faceted and self-driven Full Stack Developer (FSD) to join our Products and Services function. This role will be directly engaged with the development, deployment and maintenance of data and AI products that will drive positive social impact around the world. The FSD is responsible for full-stack development of cloud solutions that are based around ML model predictions, using a rapid prototyping development approach. We are a small, high-performing team and in many ways function as a startup. As such, the ideal candidate will be someone who can develop an end-to-end solution around which our ML products will be deployed. For a summary of PJMF’s current products, please visit our website: https://www.mcgovern.org/our-work/data-solutions/.
How you’ll make an impact:
Collaborative Development:
Work closely with the Director, Lead Engineer & Data Scientist, Software Development Engineer, and DevOps Engineer to understand project requirements and contribute to the development of AI-based products.
Contribute to the vision and execution of product architecture, UI/UX designs, infrastructure deployment and ensuring high-quality work output
Nonprofit Consultation Support:
Contribute to consultations with nonprofit partners exploring data and technology solutions. The ability to explain technical concepts with empathy and clarity is critical, as this role helps equip partners with the tools and knowledge to succeed.
Open Source Contribution:
Help extend the reach and impact of PJMF’s technology solutions by contributing to internal and community-led open source projects.
Product Integration:
Develop and deploy full-stack applications for cloud-based solutions that align with the rapid prototyping development approach.
Collaborate with the team to integrate ML model predictions into user-friendly interfaces, ensuring the reliability, safety, and scalability of the end products.
User-Centric Design:
Implement intuitive user interfaces for AI-backed web and mobile applications
Understand end-user needs and requirements to design and develop applications that effectively address challenges within the social good sector.
Prototype, test, and iterate on full-stack solutions, incorporating user feedback for continuous improvement.
Cross-Functional Collaboration:
Collaborate with team members to address communication outreach and resource needs related to front-end and mobile development.
Ensure effective communication with cross-functional teams, contributing to the success of AI products.
Restrictions

No telecommuting
Agencies are OK

Requirements
What you will need to succeed:
Experience – 5+ years of professional experience in full-stack development, with proven expertise in both UI development and backend integration. Experience with Python-based codebases is required.
Development – Proficiency in JavaScript, HTML, CSS, and experience with modern front-end frameworks such as React or React Native. Strong programming experience with Python is required, as our core codebase is primarily Python-based. Experience with CI/CD tools (e.g., GitHub Actions, Jenkins, etc), source control (GitHub), and issue tracking (Jira) is also strongly preferred.
Infrastructure – Production experience with cloud services (preferably AWS), containerization (e.g., Docker), and orchestration (e.g., Kubernetes) is a plus. Experience working with relational databases (e.g., PostgreSQL, MySQL) and NoSQL systems (e.g. MongoDB, DynamoDB). Familiarity with Infrastructure as Code (e.g., Terraform) is a plus.
Prototyping - ability to create both Low-Fidelity (LoFI) and High-Fidelity (HiFi) wireframes, building interactive prototypes for user testing, developer collaboration, and visual representation is a plus. Experience using Figma or equivalent tools for wireframing and collaboration is also a plus
Communication – Excellent communication skills, both written and verbal, to convey technical concepts to diverse audiences.
Teamwork – Effective team player who understands the responsibility every individual brings to the table and how to encourage and drive results from each team member; ability to work collaboratively within a high-performance, startup-like environment
High Performance – Ability to quickly learn new technologies and methodologies to ensure successful and timely completion of product development
Results-oriented – Highly organized and detail-oriented, self-driven and able to adapt to learning and implementing new technologies, and creative in solving issues as they arise
Cultural alignment – An advocate for social progress; interest in emerging technologies and their ability to advance societal outcomes
Work eligibility – Applicants must be authorized to work for any employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa at this time.
About the Company
The Patrick J. McGovern Foundation (PJMF) is a philanthropic organization dedicated to advancing artificial intelligence and data science solutions to create a thriving, equitable, and sustainable future for all. PJMF works in partnership with public, private, and social institutions to drive progress on our most pressing challenges, including digital health, climate change, broad digital access, and data maturity in the social sector.
Contact Info

Contact: The People Team
E-mail contact: people@mcgovern.org
Web: https://jobs.lever.co/mcgovern/631186df-9f5b-453b-b81b-d38b13891980






Posted 30 June 2025



Back end, Front end

Developer / Engineer",https://www.python.org/jobs/7921/
Senior Python Developer,N/A,"Back end, Cloud, Database, Front end, Integration, Operations, Systems, Testing",26 June 2025,"Senior Python Developer
              
	      New

              EA STRATEGY SAS
	    

Medellin Cartagena Bogota, cundinamarca Antioquia bolivar, Colombia



Job Title 

        Senior Python Developer

        Job Description
We are looking for a Senior Python Engineer with a strong background in software development, data engineering, CI/CD automation, and cloud deployment on AWS. This role is essential for designing, building, and deploying AI models and scalable backend systems for industries such as airlines.
The ideal candidate will combine experience in Python, DevOps, cloud architecture, and machine learning operations, collaborating closely with data scientists, data engineers, architects, and producto owners.
Restrictions

Telecommuting is OK
Agencies are OK

Requirements

Design and implement AI-driven applications using Python.
Build and maintain efficient, scalable, and automated data pipelines to support machine learning workflows.
Develop and deploy APIs and microservices that integrate ML models into platform ecosystems.
Manage the full ML lifecycle (training, validation, monitoring, and tuning) using MLOps best practices.
Apply DevOps practices (CI/CD, monitoring, automated testing) using tools like AWS CDK, CodePipeline.
Deploy solutions in the cloud using AWS services such as Lambda, S3, Glue, EventBridge, Step Functions and Sagemaker.
Monitor and troubleshoot production systems as needed.

About the Company
EA Strategy is a Colombian company with operations in Atlanta, Georgia, providing specialized solutions in Enterprise Architecture and Electronic Document Management for nine years. Our focus is on supporting companies through gradual digital transformation without drastic decisions. Using international standards and methodologies, we develop high-quality software tailored to diverse needs, offering tools for document management, process automation, enterprise architecture, and operational risk management, supported by qualified personnel and rigorous quality control to ensure effective results.
Services:
- Enterprise Architecture
- IT Diagnosis
- Document Management
- Process Management
- Risk Management
- Data Governance
Contact Info

Contact: Kathetine Barbosa
E-mail contact: administrativo@ea-strategy.com
Web: https://ea-strategy.com/en/






Posted 26 June 2025



Back end, Cloud, Database, Front end, Integration, Operations, Systems, Testing

Developer / Engineer",https://www.python.org/jobs/7920/
Senior Backend Python Developer,N/A,Back end,25 June 2025,"Senior Backend Python Developer
              
	      New

              Gravitas Recruitment
	    

London, Greater London, United Kingdom



Job Title 

        Senior Backend Python Developer

        Job Description
Mid-Senior Python Developers
Hybrid (1 day a week in London) | Full-time
Salary £65,000 to £95,000 DOE
Are you an experienced Python Developer who loves solving real-world problems with clean, scalable code?
Gravitas has partnered with an established insurtech company that’s reshaping the future of insurance through data and automation.
They are looking to take on 5 Developers with a minimum of 2 plus years in backend Python, and experience working in business-to-consumer industries
What You’ll Do:

Design, build, and maintain scalable backend systems using Python.
Collaborate with product managers, data scientists, and engineers to develop innovative insurance solutions.
Integrate third-party APIs and work with real-time data pipelines.
Write clean, testable, and efficient code.
Contribute to architectural decisions and code reviews.

What We’re Looking For

2+ years of professional Python development experience.
Strong understanding of RESTful APIs, microservices, and cloud platforms (e.g., AWS, GCP).
Experience with frameworks like Django, Flask, or FastAPI.
Familiarity with CI/CD pipelines and containerization (Docker, Kubernetes).

Bonus: Experience in fintech, insurtech, or working with usage-based data.
What’s On Offer

Salary £65,000- £95,000 DOE
Hybrid Working (1 day a week in London)
A chance to work on meaningful products that impact thousands of drivers.

(Please note, sponsorship is no available for this position)
If you have the experience, drive, and passion to build the future of  Insurtech, please apply through the link with a recent CV and contact details.
Restrictions

No telecommuting
No Agencies Please

Requirements
What We’re Looking For:

2+ years of professional Python development experience.
Strong understanding of RESTful APIs, microservices, and cloud platforms (e.g., AWS, GCP).
Experience with frameworks like Django, Flask, or FastAPI.
Familiarity with CI/CD pipelines and containerization (Docker, Kubernetes).
Bonus: Experience in fintech, insurtech, or working with usage-based data.

Please note: You must have resided in the UK for the last 3 years and have the right to work without sponsorship
Contact Info

Contact: Nathan Steels
E-mail contact: n.steels@gravitasgroup.com
Web: https://www.gravitasgroup.co.uk/jobs/software-engineer-python-161810






Posted 25 June 2025



Back end

Developer / Engineer",https://www.python.org/jobs/7919/
"Lead Software Engineer, Machine Learning",N/A,Lead,25 June 2025,"Lead Software Engineer, Machine Learning
              
	      New

              Meedan
	    

San Francisco, CA, United States



Job Title 

        Lead Software Engineer, Machine Learning

        Job Description
Remote Full-Time or Contractor | Candidates who can work within UTC-8 to UTC+2 to align with our team.
We’re looking for an experienced Lead Software Engineer (Machine Learning) to take ownership of a new AI/ML backend system that integrates machine learning models with large-scale data. This is a highly technical, hands-on role where you will drive architecture, implementation, and technical leadership from the start. If you’ve led complex engineering projects, built production-grade AI-powered systems, and are excited to help shape a new project, we’d love to hear from you.
About the Role
You’ll be responsible for leading the design and development of a Python-based backend service integrating AI/ML models and structured data systems. The role will require you to design scalable APIs, data ingestion pipelines, and real-time query services that serve AI-powered features across our platform. You will operate with significant autonomy, define the technical architecture, and deliver production-ready systems.
Key Responsibilities

Own the architecture, design, and development of Python backend services integrating AI/ML models with structured data.
Lead all aspects of system design, including API architecture, data ingestion, scalability, fault tolerance, observability, and performance.
Deliver production-quality code while driving high engineering standards, best practices, and code reviews.
Collaborate with product managers, ML researchers, program managers, and other engineers to translate product goals into technical solutions.
Work independently while keeping stakeholders aligned on progress and priorities.

Note: This role could be either full-time or as a temporary contractor. We're open to hearing what you're interested in! This is a hands-on role with much ownership on building production systems that combine APIs with AI models. Experience with graph databases like Neo4j is a plus.
Restrictions

Telecommuting is OK
No Agencies Please

Requirements
What We’re Looking For:

8+ years of professional software engineering experience.
Strong track record of independently designing and delivering complex backend systems.
Deep expertise in Python, particularly for backend API services and AI/ML integration.
Hands-on experience with FastAPI (or comparable modern Python web frameworks).
Experience integrating AI/ML models into production systems (LLMs, transformers, fine-tuning, etc.).
Strong system design, data modeling, and architectural thinking.
Familiarity with scalable ingestion pipelines, asynchronous processing, and event-driven architectures.
Experience with cloud infrastructure (e.g., AWS), CI/CD pipelines, monitoring, and observability.

Nice to Have:

Experience with knowledge graphs or graph databases (e.g., Neo4j).
MLOps experience (model deployment, pipelines, monitoring, retraining workflows).
Prior collaboration with ML research teams.
Experience in early-stage, product-driven environments.
Prior technical leadership or engineering management experience.

About the Company
About Meedan
Meedan is a nonprofit focused on building digital tools and community-led programs that enhance the accessibility, reliability, and distribution of information - when and where people need it most. We codesign open-source tools and programs, enabling communities — especially those that have been historically underserved - to access the information they need to organize and mobilize. We also strive to make online ecosystems safer, more inclusive, and more equitable, so that existing pathways for content production and distribution can better serve the needs of all communities, regardless of their location, language, or income.
Contact Info

Contact: Danielle
E-mail contact: danielle@meedan.com
Web: https://meedan.bamboohr.com/careers/64






Posted 25 June 2025



Lead

Developer / Engineer",https://www.python.org/jobs/7918/
Python Engineering Manager,N/A,"Back end, Lead, Systems",25 June 2025,"Python Engineering Manager
              
	      New

              Picnic Technologies
	    

Amsterdam, The Netherlands



Job Title 

        Python Engineering Manager

        Job Description

Shaping: As a Tech Lead in one of our domains, you’ll work with stakeholders from tech and business to translate requirements into scalable and resilient solutions.
Leadership: You help the team plan, prioritize, and make the right trade-offs. Ensuring business goals are achieved while also realizing your long-term technical vision.
Expertise: You provide in-depth tech expertise for your product and act as a point of contact for other teams wishing to use and cooperate with your product.
Collaboration: You are able to communicate your views both when specifying new features with stakeholders and while providing technical mentorship to your colleagues.
Mentorship: You build and evaluate team members through regular development conversations, personalized coaching, and mentorship to foster growth and achieve career goals.
Ownership: You build it - you run it - you love it: you will be responsible for managing a sustainable support model for your product.
Our Tech: Python 3.10/3.11/3.12, SimPy, many Python libraries across various domains, RabbitMQ, AWS, Docker, Kubernetes, TeamCity, Microservices

Restrictions

No telecommuting
No Agencies Please

Requirements

You have a Bachelor’s or Master’s Degree in Computer Science, Artificial Intelligence, Information Technology, Computer Engineering, or a related technical field.
You have at least 7 years of experience and a profound understanding of back-end development including Python.
You have at least 2 years of experience in leading projects and/or teams.
You have solid problem-solving skills and enjoy complex challenges.
You have great English skills (no Dutch required) and are able to structure your thoughts and express them clearly verbally and in writing.
Bonus points: Prior experience in simulation-related topics

About the Company
When you join Picnic, you’re joining the shopping revolution, delivering groceries to millions of people across Europe, and we’re growing fast. Think super fresh products and personal service, but in a modern, sustainable way. The tech team at Picnic is at the core of Picnic. From deep learning models to forecast orders to delivery algorithms to warehouse logistics: we’ve built it all from the ground up. You’ll thrive here if you’re a problem solver with a pro-active mindset who’s not afraid to be challenged daily.
Picnic operates more than 40 product tech teams that each provide an integral part of our customers' experience - from the point they start the app until the moment they hold their groceries in their hands.
As Tech Lead, you will be leading our Python Warehouse Simulation team to empower them to build simulations of some of the biggest automated warehouses in Europe, as well as models of new warehousing and automation concepts that will enable us to expand as never before. Together with the Product Owner, you will evaluate initiatives and drive roadmap discussions. You will be responsible for the delivery of projects and for developing the skills and strengths of the people working in your team. As a Tech Lead, you’ll lead by example, not by title.
Contact Info

Contact: Frankie
E-mail contact: francesca.prina@teampicnic.com
Web: https://grnh.se/gehim4lu1us






Posted 25 June 2025



Back end, Lead, Systems

Manager / Executive",https://www.python.org/jobs/7917/
Sr Data Engineer,N/A,"Cloud, Database, Integration, Data Engineering",25 June 2025,"Sr Data Engineer
              
	      New

              Picnic Technologies
	    

Amsterdam, The Netherlands



Job Title 

        Sr Data Engineer

        Job Description

Ownership: Participate in the whole process from gathering requirements to visualizing results
Stakeholder management: Collaborate with domain experts, analysts, and backend engineers to solve data challenges
Engineering: Design, implement and maintain scalable data pipelines while applying data modeling techniques, to contribute to a robust data platform
Software development: Keep things automated and simple, to increase adoption by data engineers, machine learning engineers, and analysts
Decision making: Be pragmatic while delivering high-quality implementations
Our Tech: SQL, Python, dbt, Snowflake, Tableau, Argo, AWS, Docker, Kubernetes, Terraform, Meltano

Restrictions

No telecommuting
No Agencies Please

Requirements

Bachelor’s degree in Computer Science (or equivalent)
Around 5 years of relevant experience in Data Engineering, Software Engineering, or Infrastructure
Experience with SQL and relational databases
Experience with Python or other programming languages
Experience with infrastructure technologies (e.g. schedulers, Docker, Kubernetes)
You’re a great communicator who can explain and present technical topics to a varied audience
Fluent in English (Dutch not required)

About the Company
When you join Picnic, you’re joining the shopping revolution, delivering groceries to millions of people across Europe, and we’re growing fast. Think super fresh products and personal service, but in a modern, sustainable way. The tech team at Picnic is at the core of Picnic. From deep learning models to forecast orders to delivery algorithms to warehouse logistics: we’ve built it all from the ground up. You’ll thrive here if you’re a problem solver with a pro-active mindset who’s not afraid to be challenged daily.
As a Data Engineer at Picnic, you are responsible for translating business needs into successful technical designs. You’ll work with large data sets, discover new insights and business opportunities, and promote business intelligence.
It’s a role with plenty of freedom: think you've spotted a way to ensure our large fleet of electric vehicles is used in the most efficient way? Go ahead and test, evaluate, and evolve your ideas alongside our Distribution team. More interested in customer behavior? Work on in-app analytics to ensure our mobile store remains smooth, speedy, and robust.
Contact Info

Contact: Frankie
E-mail contact: francesca.prina@teampicnic.com
Web: https://grnh.se/snbccu3m1us






Posted 25 June 2025



Cloud, Database, Integration

Developer / Engineer",https://www.python.org/jobs/7916/
AI Developer,N/A,"Back end, Machine Learning",14 June 2025,"AI Developer
              
	      
              Logix
	    

Basel, Switzerland, Switzerland



Job Title 

        AI Developer

        Job Description
We’re looking for skilled Python developers with experience in AI to join us on a project-by-project basis. Each project runs for 1 to 2 months and pays between $30,000 and $50,000 depending on the scope.
What You'll Do

Build AI tools and systems using Python
Work with APIs from OpenAI, Claude, or similar LLM platforms
Process and analyze data from multiple sources (structured and unstructured)
Build simple, clean backends with FastAPI or Flask
Deploy models or tools to the cloud (AWS, GCP, or similar)

What You Get

High-paying short-term projects ($30K–$50K)
Fully remote and flexible work
Clear deliverables and minimal meetings
Opportunity to build interesting AI products from scratch
Work with a no-nonsense team that values output over bureaucracy

Restrictions

Telecommuting is OK
Agencies are OK

Requirements
Requirements

Strong Python skills and experience in real projects
Good understanding of how AI or machine learning works
Experience with at least one ML library (PyTorch, TensorFlow, or similar)
Comfortable working independently and handling full projects
Clear, consistent communication and reliable delivery
Bonus: experience with LangChain, vector databases, or LLMs

About the Company
About Logix
Logix is a specialized AI engineering company focused on building fast, practical, and effective systems for real business use. We take on complex projects for select clients and deliver results through small, focused teams of strong developers.
Contact Info

E-mail contact: mhasonrymanagement@gmail.com
Web: https://www.logixsoftware.com/






Posted 14 June 2025



Back end, Machine Learning

Developer / Engineer",https://www.python.org/jobs/7914/
